"Individual","Partner","Population","Density","Sex","Exploration","Aggression","LRS","Feeding_rate","Aggression_score"
"C3F7001","C3F7002","Bagley Wood",9.7,"F",46.4998163749806,-1.01831640714952,6.13315416264454,4.64756694540644,1
"C3F7002","C3F7003","Boshoek",10,"F",50.1177290101565,0.040742362314179,4.63540294081904,4.36161787796422,0
"C3F7003","C3F7004","Donana",3.6,"F",44.5961511428589,-5.38362326113204,5.37615187761444,4.61198757631258,1
"C3F7004","C3F7005","Forstenrieder park",12.2,"F",50.5155746410643,0.500925770336728,4.48983287846286,3.61825251930786,0
"C3F7005","C3F7006","Gotland",7.5,"F",46.3228869469437,-4.18868094317441,5.71704277978027,4.56753914905917,0
"C3F7006","C3F7007","Mont Ventoux",11.2,"M",52.0471390296964,1.42376455615819,4.26632629582409,4.68125854584742,0
"C3F7007","C3F7008","Oulu",12.9,"M",53.3191330547735,2.84155272462352,4.01077911340208,3.65783136279608,2
"C3F7008","C3F7009","Westerheide",12.4,"M",51.5147056850393,2.09666678983814,4.54137416069991,3.59214766567201,2
"C3F7009","C3F7010","Whytham Woods",10.6,"M",52.0611420558643,1.10178067751354,5.19341177349457,4.80591856782643,0
"C3F7010","C3F7011","Zvenigorod",8.7,"M",48.1413862711544,-2.28315777137336,5.55451301730283,5.22872413698756,2
"C3F7011","C3F7012","Bagley Wood",8.6,"F",48.580936198558,-0.236726523302373,5.22360800782979,6.12496790618499,1
"C3F7012","C3F7013","Boshoek",5.9,"F",44.8262402149056,-2.29260222658695,6.28897024018752,7.62135119378619,0
"C3F7013","C3F7014","Donana",6.8,"F",45.9205206875628,-5.39457429860561,3.82545642243024,4.07289754174385,0
"C3F7014","C3F7015","Forstenrieder park",11.7,"F",50.8051818243593,0.96676486782218,4.83514428010999,5.63354099795365,2
"C3F7015","C3F7016","Gotland",8.5,"F",48.0891231566098,-2.30550335854367,4.2932782231635,5.49233034928463,0
"C3F7016","C3F7017","Mont Ventoux",12.4,"M",54.5729694420845,1.95880307954112,5.06312239678597,5.10229193026251,1
"C3F7017","C3F7018","Oulu",12.4,"M",53.735029990672,2.31093480496367,4.94129329660067,6.25914666177838,1
"C3F7018","C3F7019","Westerheide",8.9,"M",48.5620818604548,0.387678845344934,4.75662205198754,3.73219670636409,1
"C3F7019","C3F7020","Whytham Woods",7.9,"M",49.2481751354364,-0.901208417469211,4.77260001842566,3.5453440317271,1
"C3F7020","C3F7021","Zvenigorod",12.5,"M",50.7975338264328,1.25784380521616,5.1276998415826,4.41845115052831,0
"C3F7021","C3F7022","Bagley Wood",12.3,"F",52.2040705162378,1.68070246134003,3.27610894186471,4.28794214699027,1
"C3F7022","C3F7023","Boshoek",10.6,"F",49.0499267768106,-1.20873839983907,4.18642925935027,4.85085588455774,1
"C3F7023","C3F7024","Donana",7.5,"F",47.0104474017132,-1.36012113415505,4.71622232323423,5.83728947019081,0
"C3F7024","C3F7025","Forstenrieder park",6.7,"F",47.6606223062375,-1.23787745405165,5.6258975123916,5.81588361387006,1
"C3F7025","C3F7026","Gotland",11.6,"F",49.9421118284294,1.34778418920427,5.1389282425508,4.73897228209515,0
"C3F7026","C3F7027","Mont Ventoux",12,"M",53.9397805436808,3.8054787919002,5.69350863805594,3.97558876955916,3
"C3F7027","C3F7028","Oulu",10.6,"M",51.5726018287696,1.26649958853361,4.72646927991444,4.82134506506614,1
"C3F7028","C3F7029","Westerheide",11.2,"M",52.5622246035465,1.70231145398628,5.81577018713484,6.08707470236129,3
